Geo_FIPS,ACS19_5yr_B02018001
1001020100,2
1001020200,28
1001020300,87
1001020400,64
1001020500,527
1001020600,0
1001020700,2
1001020801,0
1001020802,109
1001020900,108
1001021000,0
1001021100,9
1003010100,9
1003010200,0
1003010300,16
1003010400,76
1003010500,47
1003010600,42
1003010701,312
1003010703,413
1003010704,74
1003010705,199
1003010800,173
1003010903,0
1003010904,85
1003010905,12
1003010906,0
1003011000,0
1003011101,313
1003011102,14
1003011201,396
1003011202,0
1003011300,63
1003011401,187
1003011403,0
1003011405,71
1003011406,7
1003011407,101
1003011408,0
1003011501,110
1003011502,172
1003011601,12
1003011602,0
1003990000,0
1005950100,52
1005950200,0
1005950300,6
1005950400,12
1005950500,25
1005950600,10
1005950700,0
1005950800,36
1005950900,27
1007010001,0
1007010002,6
1007010003,0
1007010004,35
1009050101,0
1009050102,38
1009050200,34
1009050300,9
1009050400,46
1009050500,24
1009050601,0
1009050602,44
1009050700,77
1011952100,0
1011952200,50
1011952500,78
1013952700,0
1013952800,0
1013952900,67
1013953000,0
1013953100,0
1013953200,0
1013953300,0
1013953400,19
1013953500,0
1015000200,24
1015000300,0
1015000400,20
1015000500,0
1015000600,134
1015000700,37
1015000800,2
1015000900,16
1015001000,243
1015001100,0
1015001201,0
1015001202,73
1015001300,24
1015001400,0
1015001500,0
1015001600,0
1015001700,293
1015001800,239
1015002000,85
1015002101,11
1015002102,56
1015002103,226
1015002200,61
1015002300,0
1015002400,16
1015002501,0
1015002502,49
1015002600,0
1015981901,0
1015981902,0
1015981903,0
1017953800,0
1017953900,0
1017954000,38
1017954200,142
1017954300,193
1017954400,0
1017954500,8
1017954600,0
1017954700,56
1019955701,0
1019955702,29
1019955800,3
1019955900,10
1019956000,0
1019956100,25
1021060101,20
1021060102,209
1021060200,0
1021060300,0
1021060401,9
1021060402,12
1021060500,0
1021060600,0
1021060700,0
1023956700,23
1023956800,5
1023956900,0
1023957000,0
1025957500,0
1025957601,4
1025957602,42
1025957700,2
1025957800,0
1025957901,51
1025957902,24
1025958001,0
1025958002,0
1027958900,0
1027959000,7
1027959100,0
1027959200,14
1029959500,26
1029959600,0
1029959700,0
1029959800,0
1031010100,6
1031010200,0
1031010300,72
1031010400,0
1031010500,73
1031010600,15
1031010700,10
1031010800,39
1031010900,4
1031011000,26
1031011100,75
1031011201,306
1031011202,480
1031011300,15
1033020100,7
1033020200,0
1033020300,0
1033020400,10
1033020500,152
1033020600,32
1033020701,87
1033020703,96
1033020704,32
1033020801,14
1033020802,0
1033020901,20
1033020902,41
1033021000,0
1035960200,107
1035960300,35
1035960400,0
1035960500,0
1035960600,0
1037961000,0
1037961100,0
1037961200,0
1039961600,22
1039961700,32
1039961800,0
1039961900,0
1039962000,48
1039962100,9
1039962300,0
1039962400,48
1039962500,0
1039962600,0
1039962700,0
1039962800,24
1039962900,12
1039963000,66
1041963400,6
1041963500,0
1041963600,0
1041963700,188
1041963800,0
1041963900,0
1043964100,0
1043964200,12
1043964300,33
1043964400,17
1043964500,0
1043964600,0
1043964700,85
1043964800,32
1043964900,335
1043965000,2
1043965100,0
1043965200,43
1043965300,55
1043965401,34
1043965402,0
1043965500,0
1043965600,0
1043965700,15
1045020000,179
1045020100,14
1045020200,0
1045020300,0
1045020400,96
1045020500,9
1045020700,127
1045020801,67
1045020802,142
1045021101,273
1045021102,133
1045021200,71
1045021300,43
1045021400,23
1047956100,0
1047956201,0
1047956202,8
1047956300,0
1047956400,60
1047956500,0
1047956600,0
1047956701,32
1047956702,0
1047956800,109
1047956900,0
1047957000,0
1047957100,0
1047957200,16
1047957300,19
1049960100,189
1049960200,0
1049960300,14
1049960400,0
1049960500,39
1049960600,0
1049960700,0
1049960800,0
1049960900,0
1049961000,0
1049961100,60
1049961200,17
1049961300,0
1049961400,3
1051030100,97
1051030200,0
1051030300,0
1051030400,28
1051030500,29
1051030600,48
1051030701,144
1051030702,118
1051030800,13
1051030901,62
1051030902,10
1051031000,92
1051031100,64
1051031200,3
1051031300,160
1053969800,0
1053969900,0
1053970100,87
1053970200,0
